op                                                     total ms      %   calls
$autoencoders_jax.py:482 fit                            1152.54  12.7%       1
$autoencoders_jax.py:285 fit_params                      756.20   8.3%       1
$array.py:338 __getitem__                                532.44   5.9%     173
$indexing.py:1080 rewriting_take                         530.46   5.9%     173
PjRtCApiLoadedExecutable::Execute                        405.65   4.5%    1596
$indexing.py:1200 _gather                                389.29   4.3%     168
$indexing.py:577 to_gather                               326.68   3.6%     168
$indexing.py:1299 _index_to_gather                       323.90   3.6%     168
$core.py:682 bind                                        279.32   3.1%     906
PjitFunction(_broadcast_arrays)                          258.37   2.9%     336
$core.py:731 bind_with_trace                             254.10   2.8%     905
$core.py:1307 process_primitive                          248.66   2.7%     906
PjitFunction(dynamic_slice)                              236.96   2.6%      10
$dispatch.py:81 apply_primitive                          233.56   2.6%     894
$autoencoders.py:150 preprocess_snapshot                 233.29   2.6%       1
PjitFunction(train_step)                                 218.80   2.4%     336
$autoencoders.py:135 _to_flat                            173.82   1.9%       1
$indexing.py:1154 _static_slice                          119.14   1.3%       5
