-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Optimizer.step#Adam.step         0.00%       0.000us         0.00%       0.000us       0.000us     877.534ms        76.08%     877.534ms       5.132ms           171  
                                aten::_foreach_addcdiv_         0.27%       4.797ms         0.45%       7.961ms      46.558us     159.242ms        13.81%     159.242ms     931.241us           171  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     159.242ms        13.81%     159.242ms     931.241us           171  
                                     aten::_foreach_add         0.52%       9.287ms         1.71%      30.351ms     177.491us     123.743ms        10.73%     123.743ms     723.643us           171  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     123.743ms        10.73%     123.743ms     723.643us           171  
                                aten::_foreach_addcmul_         0.28%       4.921ms         0.46%       8.205ms      47.983us     123.186ms        10.68%     123.186ms     720.387us           171  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     123.186ms        10.68%     123.186ms     720.387us           171  
                                   aten::_foreach_lerp_         0.16%       2.758ms         0.27%       4.777ms      27.936us     122.973ms        10.66%     122.973ms     719.139us           171  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     122.973ms        10.66%     122.973ms     719.139us           171  
                                               aten::mm         5.52%      97.936ms         7.76%     137.793ms      73.255us      97.609ms         8.46%      97.609ms      51.892us          1881  
                                    aten::_foreach_sqrt         0.33%       5.830ms         1.23%      21.893ms     128.028us      87.261ms         7.57%      87.261ms     510.297us           171  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      87.261ms         7.57%      87.261ms     510.297us           171  
                                    aten::_foreach_div_         0.24%       4.251ms         0.42%       7.471ms      43.688us      86.739ms         7.52%      86.739ms     507.246us           171  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      86.739ms         7.52%      86.739ms     507.246us           171  
                                    aten::_foreach_add_         0.42%       7.447ms         0.90%      16.052ms      46.934us      86.606ms         7.51%      86.606ms     253.233us           342  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      86.606ms         7.51%      86.606ms     506.466us           171  
                                    aten::_foreach_mul_         0.23%       4.130ms         0.42%       7.379ms      43.151us      85.885ms         7.45%      85.885ms     502.251us           171  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      85.885ms         7.45%      85.885ms     502.251us           171  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.776s
Self CUDA time total: 1.153s
