-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             aten::convolution_backward         7.33%     118.477ms        16.81%     271.788ms     264.901us     229.206ms        39.39%     253.055ms     246.643us          1026  
                               Optimizer.step#Adam.step         0.00%       0.000us         0.00%       0.000us       0.000us     226.676ms        38.96%     226.676ms       1.326ms           171  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us     135.378ms        23.27%     135.378ms     156.688us           864  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     103.711ms        17.83%     103.711ms     154.332us           672  
                      aten::cudnn_convolution_transpose         1.87%      30.314ms         2.86%      46.277ms      88.653us     100.049ms        17.20%     100.049ms     191.664us           522  
                                aten::cudnn_convolution         2.47%      39.881ms         3.62%      58.604ms     112.268us      42.438ms         7.29%      42.438ms      81.300us           522  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      34.667ms         5.96%      34.667ms      99.617us           348  
                                            aten::copy_         0.50%       8.111ms         3.39%      54.773ms     127.677us      34.294ms         5.89%      34.297ms      79.948us           429  
                                              aten::sum         4.88%      78.887ms         7.37%     119.146ms      69.433us      32.905ms         5.66%      32.905ms      19.175us          1716  
_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1...         0.00%       0.000us         0.00%       0.000us       0.000us      31.091ms         5.34%      31.091ms      91.715us           339  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      29.888ms         5.14%      29.888ms     160.686us           186  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      28.102ms         4.83%      28.102ms      20.453us          1374  
         _5x_cudnn_volta_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      21.858ms         3.76%      21.858ms      63.913us           342  
        _5x_cudnn_volta_scudnn_128x32_relu_medium_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      20.562ms         3.53%      20.562ms      60.121us           342  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      20.366ms         3.50%      20.366ms      19.452us          1047  
                                             aten::add_         2.21%      35.661ms         3.20%      51.724ms      13.684us      19.121ms         3.29%      19.121ms       5.059us          3780  
void cudnn::engines_precompiled::scalePackedTensor_k...         0.00%       0.000us         0.00%       0.000us       0.000us      17.482ms         3.00%      17.482ms      20.234us           864  
                                               aten::mm         2.37%      38.269ms         3.43%      55.419ms      81.022us      14.136ms         2.43%      14.136ms      20.667us           684  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.617s
Self CUDA time total: 581.819ms
