dataset,model,backend,n_latent,hidden,seed,train_mse,train_rel_error,test_mse,test_rel_error,gen_gap,fit_time_s,n_params,n_epochs_run,best_epoch,n_x,gap,n_train,n_val,n_test,test_nn_dist_median,test_nn_dist_min,test_mean_shift,val_nn_dist_median,val_nn_dist_min,val_mean_shift,span_ceiling
bl,POD,numpy,2,16-4,0,0.001614855951629579,0.9175299628298524,0.001620992785319686,0.924760840496175,1.0078808082125417,0.2883319854736328,27750.0,nan,nan,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AE,torch,2,16-4,0,0.0014410089934244752,0.8186418776887558,0.0014780593337491155,0.8432337415886219,1.0300398312987546,106.9488730430603,458061.0,371.0,291.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AEJax,jax,2,16-4,0,0.0014296902809292078,0.8122116804502745,0.0014751498820260167,0.8415738976253777,1.0361509417825971,39.329488039016724,458061.0,561.0,481.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAE,torch,2,16-4,0,0.0011102393036708236,0.6307305453250633,0.0011646266793832183,0.664420223184989,1.0534137407957034,171.12565922737122,72709.0,600.0,597.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAEJax,jax,2,16-4,0,0.0010999479563906789,0.6248839975937106,0.001159236184321344,0.6613449425002077,1.0583483415272277,1077.6070811748505,72709.0,600.0,588.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,POD,numpy,4,32-8,0,0.0015067814383655787,0.8561241117148306,0.0015147310914471745,0.8641395630740728,1.009362487575764,0.19606399536132812,55500.0,nan,nan,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AE,torch,4,32-8,0,0.0011751365382224321,0.6675988745253425,0.001257543102838099,0.7174290988206886,1.0746409651016489,73.64598512649536,902535.0,264.0,184.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AEJax,jax,4,32-8,0,0.001173366792500019,0.666593476246887,0.0012630671262741089,0.7205805575234693,1.0809895133995986,28.719791889190674,902535.0,297.0,217.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAE,torch,4,32-8,0,0.0009927581995725632,0.5639891494761771,0.0010516892652958632,0.5999893603151844,1.0638313890833602,182.41505599021912,93191.0,600.0,586.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAEJax,jax,4,32-8,0,0.0009974719723686576,0.5666670590731342,0.0010584186529740691,0.603828480045311,1.0655789327739638,1068.285269021988,93191.0,600.0,600.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,POD,numpy,8,64-16,0,0.001352925319224596,0.7687060363539191,0.0013676297385245562,0.7802196517710641,1.014977917269592,0.1646111011505127,111000.0,nan,nan,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AE,torch,8,64-16,0,0.0008387995767407119,0.476524757056306,0.0009724896517582238,0.5548059330123585,1.1642751500250024,240.52709484100342,1792347.0,600.0,575.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AEJax,jax,8,64-16,0,0.0008403117535635829,0.47738382960847003,0.0009721855749376118,0.5546324570027557,1.161816598307575,81.24911999702454,1792347.0,483.0,403.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAE,torch,8,64-16,0,0.0008768400293774903,0.4981356614412234,0.000947275257203728,0.5404211057076596,1.0848874062621705,85.13527297973633,134155.0,291.0,211.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAEJax,jax,8,64-16,0,0.0008732714923098683,0.4961083639719012,0.0009373067878186703,0.5347340879096985,1.0778574334618252,1041.4562108516693,134155.0,600.0,594.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,POD,numpy,16,128-32,0,0.0011592450318858027,0.6586606377761014,0.001189538394100964,0.6786202474765071,1.0303033285362204,0.18764281272888184,222000.0,nan,nan,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AE,torch,16,128-32,0,0.00047284431639127433,0.2686243880443185,0.0006446641054935753,0.3677812610975333,1.3691283348288377,182.31595993041992,3575427.0,393.0,313.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AEJax,jax,16,128-32,0,0.0004793741391040385,0.2723340014825028,0.0006475907866843045,0.3694509344824547,1.3566096501769045,82.02167701721191,3575427.0,281.0,201.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAE,torch,16,128-32,0,0.0007416177541017532,0.4213154487692634,0.0008146149339154363,0.4647383112402691,1.103064966162175,77.80045795440674,216083.0,264.0,184.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAEJax,jax,16,128-32,0,0.0007451949641108513,0.42334767336473644,0.0008173423702828586,0.46629431533329346,1.101445324187612,1032.5674271583557,216083.0,600.0,596.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,POD,numpy,32,256-64,0,0.0009248167625628412,0.5254630228302559,0.0009792003547772765,0.558624412951599,1.0631088938337254,0.16913604736328125,444000.0,nan,nan,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
