dataset,model,backend,n_latent,seed,train_mse,train_rel_error,test_mse,test_rel_error,gen_gap,fit_time_s,n_params,n_epochs_run,n_x,gap,n_train,n_val,n_test
bl,POD,numpy,2,0,0.0030490991193801165,0.9489251482195001,0.0030890905763953924,0.9590813523165888,1.0107028506053877,0.07646608352661133,27750.0,nan,13875,1,598,200,200
bl,AE,torch,2,0,0.002662056591361761,0.8284717375931723,0.0029837978072464466,0.9263907176695574,1.1181922999097755,23.11643886566162,14354741.0,79.0,13875,1,598,200,200
bl,AEJax,jax,2,0,0.0026204779278486967,0.815531837021844,0.002986081875860691,0.9270998608821496,1.136804007882426,23.072420120239258,14354741.0,88.0,13875,1,598,200,200
bl,CAE,torch,2,0,0.0028905593790113926,0.8995852150989733,0.0030112802051007748,0.9349232791620689,1.0392826198896652,6.718955993652344,72709.0,78.0,13875,1,598,200,200
bl,CAEJax,jax,2,0,0.002883379813283682,0.8973508271025264,0.003024304285645485,0.938966913517419,1.0463766067383786,42.65610909461975,72709.0,85.0,13875,1,598,200,200
bl,POD,numpy,4,0,0.0029291189275681973,0.9115855220411043,0.002994394628331065,0.9296807518219233,1.0198502821109998,0.0397341251373291,55500.0,nan,13875,1,598,200,200
bl,AE,torch,4,0,0.002303994493559003,0.7170374693302423,0.0027457084506750107,0.8524702364063715,1.1888782286407318,21.852971076965332,14355255.0,69.0,13875,1,598,200,200
bl,AEJax,jax,4,0,0.002294315258041024,0.7140251467920309,0.0027772667817771435,0.8622682679375824,1.207616106815814,18.72468090057373,14355255.0,72.0,13875,1,598,200,200
bl,CAE,torch,4,0,0.002611184725537896,0.8126396537785511,0.002836779924109578,0.8807455328857032,1.0838082153516366,7.074747800827026,93191.0,92.0,13875,1,598,200,200
bl,CAEJax,jax,4,0,0.0025757940020412207,0.801625532484093,0.0028304331935942173,0.8787750400383992,1.0962413301822285,50.28567886352539,93191.0,99.0,13875,1,598,200,200
bl,POD,numpy,8,0,0.002749856561422348,0.8557963985311703,0.0028566033579409122,0.8869001875506692,1.036344846826749,0.03918790817260742,111000.0,nan,13875,1,598,200,200
bl,AE,torch,8,0,0.0020546617452055216,0.6394413972040586,0.0026292602997273207,0.8163161492005513,1.2766082283222093,19.36436891555786,14356283.0,70.0,13875,1,598,200,200
bl,AEJax,jax,8,0,0.0020544000435620546,0.6393599517471898,0.0026369604747742414,0.818706850966795,1.2805100612409344,18.3844051361084,14356283.0,72.0,13875,1,598,200,200
bl,CAE,torch,8,0,0.0024163173511624336,0.7519940188311461,0.0026674296241253614,0.8281667202198706,1.1012942915518433,6.509505033493042,134155.0,83.0,13875,1,598,200,200
bl,CAEJax,jax,8,0,0.002413216745480895,0.751029064072141,0.0026603201404213905,0.825959412574967,1.099770238047177,43.34017014503479,134155.0,86.0,13875,1,598,200,200
bl,POD,numpy,16,0,0.00250345841050148,0.7791136169195546,0.0026794762816280127,0.8319068904359279,1.0677606864645832,0.04969978332519531,222000.0,nan,13875,1,598,200,200
bl,AE,torch,16,0,0.001823792583309114,0.5675914687188217,0.002515290165320039,0.7809314209357726,1.3758688492949092,21.830075979232788,14358339.0,78.0,13875,1,598,200,200
bl,AEJax,jax,16,0,0.001704488880932331,0.5304623761480168,0.002509957877919078,0.7792758859862531,1.4690502494163864,22.058532238006592,14358339.0,85.0,13875,1,598,200,200
bl,CAE,torch,16,0,0.0023040263913571835,0.7170473964010528,0.002566934796050191,0.7969657200460184,1.111454729556352,6.141366958618164,216083.0,78.0,13875,1,598,200,200
bl,CAEJax,jax,16,0,0.0022981984075158834,0.7152336408575627,0.0025609307922422886,0.7951016348244979,1.1116669985924792,40.573323011398315,216083.0,82.0,13875,1,598,200,200
