dataset,model,backend,n_latent,seed,train_mse,train_rel_error,test_mse,test_rel_error,gen_gap,fit_time_s,n_params,n_epochs_run,n_x,gap,n_train,n_val,n_test
circle,POD,numpy,2,0,0.0016912284772843122,0.049064331797304746,0.0016924676019698381,0.04910445137742,1.0008176933965185,0.025311946868896484,16800.0,nan,8400,8,464,160,160
circle,AE,torch,2,0,2.185033878276954e-07,6.339015019678472e-06,2.1881362499698298e-07,6.348554617456628e-06,1.0015049022203832,97.39809083938599,8742866.0,600.0,8400,8,464,160,160
circle,AEJax,jax,2,0,2.3697063511463057e-07,6.874769449336613e-06,2.3622074252216407e-07,6.853596459995558e-06,0.9969201891791298,73.88342499732971,8742866.0,600.0,8400,8,464,160,160
circle,CAE,torch,2,0,8.478413292323239e-06,0.00024596776158665326,8.472173249174375e-06,0.0002458076118508622,0.9993488994868353,31.484442234039307,74020.0,600.0,8400,8,464,160,160
circle,CAEJax,jax,2,0,8.972795512818266e-06,0.0002603103141316566,8.970892849902157e-06,0.0002602772255417836,0.9998728879031038,188.91470170021057,74020.0,600.0,8400,8,464,160,160
circle,POD,numpy,4,0,0.0005943900323472917,0.017243885232424202,0.0005947106401436031,0.017254652129575186,1.0006243892838453,0.01638197898864746,33600.0,nan,8400,8,464,160,160
circle,AE,torch,4,0,1.9251397986863594e-07,5.5850347311213745e-06,1.8741437202152156e-07,5.437551600780665e-06,0.9735931578869346,82.41295504570007,8743380.0,600.0,8400,8,464,160,160
circle,AEJax,jax,4,0,2.4638268314447487e-07,7.147822944846562e-06,2.4523910724383313e-07,7.11525101188395e-06,0.9954430973998739,70.68608212471008,8743380.0,600.0,8400,8,464,160,160
circle,CAE,torch,4,0,7.53143376641674e-06,0.00021849488119917386,7.531327810283983e-06,0.00021851036902394516,1.000070884153836,31.532185792922974,95782.0,600.0,8400,8,464,160,160
circle,CAEJax,jax,4,0,9.036555638886057e-06,0.00026216006301115245,9.039111318998039e-06,0.00026225648381228867,1.0003677936296962,187.30301809310913,95782.0,600.0,8400,8,464,160,160
