dataset,model,backend,n_latent,hidden,seed,train_mse,train_rel_error,test_mse,test_rel_error,gen_gap,fit_time_s,n_params,n_epochs_run,n_x,split_mode,gap,n_train,n_val,n_test,nn_dist_median,nn_dist_min
circle,POD,numpy,2,16-4,0,0.001156398793682456,0.033875158630324476,0.004394198302179575,0.12246497385121209,3.6151852508694526,0.0545499324798584,16800.0,nan,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AE,torch,2,16-4,0,0.0006875864346511662,0.020141926533575612,0.01620473898947239,0.45162116048042505,22.42194458050448,36.41809606552124,277386.0,594.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AEJax,jax,2,16-4,0,0.00015461542352568358,0.004529252388744337,0.009688892401754856,0.27002649244108373,59.61833637536465,65.81747579574585,277386.0,493.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAE,torch,2,16-4,0,1.6250900443992577e-05,0.0004760484302070496,0.008084552362561226,0.22531402217071692,473.30063051089195,36.13010001182556,74020.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAEJax,jax,2,16-4,0,1.296637947234558e-05,0.0003798327738547461,0.006357868202030659,0.1771918583476159,466.499656018037,250.08238101005554,74020.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,POD,numpy,4,32-8,0,0.00029153592186048627,0.008540155570392033,0.0036036395467817783,0.10043234112737344,11.760013069968364,0.023540973663330078,33600.0,nan,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AE,torch,4,32-8,0,9.163648064713925e-05,0.0026843683469795336,0.0067210933193564415,0.18731483219550563,69.77985432076538,27.215704917907715,546660.0,430.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AEJax,jax,4,32-8,0,0.00016529002459719777,0.00484195057434299,0.008922423236072063,0.2486652292758449,51.356416274362026,46.0571928024292,546660.0,338.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAE,torch,4,32-8,0,1.4266177458921447e-05,0.0004179086203734209,0.004550285171717405,0.12681506756159075,303.4516671330578,34.25892519950867,95782.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAEJax,jax,4,32-8,0,1.1141029062855523e-05,0.0003263615708275464,0.0035754877608269453,0.09964775939169858,305.3293288760205,246.8824381828308,95782.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,POD,numpy,8,64-16,0,2.8284714517212706e-06,8.285629458613281e-05,0.00019825978961307555,0.005525440201155463,66.68702998070378,0.01824212074279785,67200.0,nan,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AE,torch,8,64-16,0,6.992911221459508e-05,0.00204847997255664,0.0023646564222872257,0.06590225725108194,32.1712968317828,26.514958143234253,1086072.0,344.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AEJax,jax,8,64-16,0,3.05829853459727e-05,0.0008958877211248613,0.0026577499229460955,0.07407068421450437,82.67853489665255,59.376599073410034,1086072.0,365.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAE,torch,8,64-16,0,6.1048722272971645e-06,0.00017883408063666784,0.001456407830119133,0.040589644473662465,226.9681725606167,34.8500440120697,139306.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAEJax,jax,8,64-16,0,4.5017955017101485e-06,0.00013187408839825224,0.000394749513361603,0.011001549203555222,83.42464647286259,252.08405804634094,139306.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,POD,numpy,16,128-32,0,2.4623076910756936e-09,7.213001612206936e-08,1.4606325748900417e-05,0.0004070738682899512,5643.612606449983,0.030482769012451172,134400.0,nan,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AE,torch,16,128-32,0,1.7258329535252415e-05,0.0005055597203101434,0.002510297577828169,0.06996123208071925,138.38371466342386,51.00627112388611,2168352.0,509.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AEJax,jax,16,128-32,0,9.980698450817727e-06,0.00029237123482828966,0.0021572192199528217,0.06012104534103892,205.63255949699754,108.29596209526062,2168352.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAE,torch,16,128-32,0,4.091336450073868e-06,0.00011985023852795424,0.00020983457216061652,0.0058480258799390025,48.79444506549723,35.32961678504944,226354.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAEJax,jax,16,128-32,0,3.1251886412064778e-06,9.154822847353145e-05,0.0002178064751205966,0.0060702003974281455,66.30603888947093,263.77240800857544,226354.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,POD,numpy,32,256-64,0,3.41427651125506e-13,1.0001667163474721e-11,7.107780106707651e-07,1.9809167567070475e-05,1980586.5605498203,0.03947114944458008,268800.0,nan,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AE,torch,32,256-64,0,8.20105560705997e-06,0.0002402389739102019,0.0032856420148164034,0.09156984636522919,381.1614946351576,35.62265205383301,4346736.0,293.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AEJax,jax,32,256-64,0,4.84979318571277e-06,0.00014206821590251475,0.0022989436984062195,0.06407086356823706,450.9866134463292,175.28442192077637,4346736.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
