branch,cos_test,energy_test,epochs,epochs_run,frac,gap,label,lr,n_delays,n_fit,n_params,n_train,nmse_test,nmse_train,seconds,section,seed,stopped_early,train_loss,val_fraction
linear,0.3521199545246736,0.2932945037986044,50,50,,0.12766755756038584,linear ep50 vf0.2,0.001,,3552,4816,,0.8834564806819424,0.8405279102056005,8.82970929145813,epochs,0,0,0.6763857688989725,0.2
linear,0.41193478895604,0.3472536919376565,100,100,,0.08268262894396106,linear ep100 vf0.2,0.001,,3552,4816,,0.8384715520655176,0.7878433001286415,7.834908962249756,epochs,0,0,0.5698417151296461,0.2
linear,0.4572770734011657,0.42638684835334495,200,200,,0.04004001807673874,linear ep200 vf0.2,0.001,,3552,4816,,0.7958289411982953,0.7401934652630872,9.94155740737915,epochs,0,0,0.4747677037307808,0.2
linear,0.47948807007658945,0.48167915540659406,400,400,,0.018277165040158527,linear ep400 vf0.2,0.001,,3552,4816,,0.7740660881617151,0.7155245071418508,14.11251449584961,epochs,0,0,0.42706134646862476,0.2
linear,0.4873262804229358,0.4970434195804452,800,800,,0.010789601227327639,linear ep800 vf0.2,0.001,,3552,4816,,0.7665785243488842,0.7061925971824965,22.50128412246704,epochs,0,0,0.4081343313058217,0.2
linear,0.4875718614352445,0.4974563250335617,1600,1051,,0.010553770544630248,linear ep1600 vf0.2,0.001,,3552,4816,,0.7663426936661868,0.705905233666873,27.727006673812866,epochs,0,1,0.40742129221692813,0.2
linear,0.3787847104689749,0.3036724140665043,50,50,,0.11504098768666182,linear ep50 vf0.0,0.001,,4440,4816,,0.866236912026526,0.8227093534780906,7.026172399520874,epochs,0,0,0.65088340312511,0.0
linear,0.43452053171050414,0.3671734644491923,100,100,,0.06867696647392507,linear ep100 vf0.0,0.001,,4440,4816,,0.8198728908137892,0.768522566577885,8.317009210586548,epochs,0,0,0.5429053451563861,0.0
linear,0.4694327183033621,0.44829557835450295,200,200,,0.03312928729256537,linear ep200 vf0.0,0.001,,4440,4816,,0.7843252116324295,0.727675809871372,10.913607358932495,epochs,0,0,0.4615120953267759,0.0
linear,0.4853011338258521,0.48782246645732086,400,400,,0.017616616448394407,linear ep400 vf0.0,0.001,,4440,4816,,0.7688125407882586,0.7094771878859527,16.025506734848022,epochs,0,0,0.4252769098625527,0.0
linear,0.49159856189044043,0.49866133550998437,800,800,,0.011538076517203844,linear ep800 vf0.0,0.001,,4440,4816,,0.762734000857068,0.7020067941810475,26.161925792694092,epochs,0,0,0.4104707614795582,0.0
linear,0.4949829858325491,0.5044500838148148,1600,1600,,0.008229866545271358,linear ep1600 vf0.0,0.001,,4440,4816,,0.7594257908851355,0.6971502463539772,46.29348707199097,epochs,0,0,0.400876539677113,0.0
linear,0.48801344823532,0.49262588537786206,1600,1600,,0.015009475167748088,linear lr0.0003,0.0003,,4440,4816,,0.7662053995076122,0.7062605381284235,46.03165650367737,lr,0,0,0.4187595507583103,0.0
linear,0.4949829858325491,0.5044500838148148,1600,1600,,0.008229866545271358,linear lr0.001,0.001,,4440,4816,,0.7594257908851355,0.6971502463539772,46.15207886695862,lr,0,0,0.400876539677113,0.0
