dataset,model,backend,n_latent,hidden,seed,train_mse,train_rel_error,test_mse,test_rel_error,gen_gap,fit_time_s,n_params,n_epochs_run,best_epoch,n_x,gap,n_train,n_val,n_test,test_nn_dist_median,test_nn_dist_min,test_mean_shift,val_nn_dist_median,val_nn_dist_min,val_mean_shift,span_ceiling
bl,AE,torch,2,16-4,0,0.0014413661556318402,0.81884478269588,0.0014808144187554717,0.8448055192468378,1.0317040996041855,99.92773413658142,458061.0,379.0,299.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AE,torch,4,32-8,0,0.0011625755578279495,0.6604629408686662,0.0012489801738411188,0.7125439426620611,1.0788552976566648,148.90896463394165,902535.0,585.0,578.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AE,torch,8,64-16,0,0.0008471874170936644,0.4812899163354139,0.0009667495032772422,0.5515311748410373,1.145943756811792,69.97471594810486,1792347.0,267.0,187.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AE,torch,16,128-32,0,0.0004735863476525992,0.2690459384078809,0.0006445465260185301,0.36771418193608657,1.3667338154669408,92.79958724975586,3575427.0,312.0,232.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AE,torch,32,256-64,0,0.0001621814153622836,0.09213578749628977,0.0003156752500217408,0.18009292057820644,1.954646782450941,156.7508099079132,7155411.0,481.0,401.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AE,torch,64,512-128,0,3.1730894988868386e-05,0.01802642424368283,0.00012158817844465375,0.0693661291544831,3.8480248892839484,262.4653379917145,14370675.0,600.0,591.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AE,torch,128,1024-256,0,7.238179023261182e-06,0.004112032953082648,5.9477977629285306e-05,0.03393222211942654,8.251933412641728,447.2469916343689,29022387.0,600.0,598.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AE,torch,256,2048-512,0,2.374098812651937e-06,0.001348733226979607,4.721291770692915e-05,0.026934998034447738,19.97058980653036,855.481630563736,59210547.0,600.0,600.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,POD,numpy,2,16-4,0,0.001614855951629579,0.9175299021398944,0.0016209929017350078,0.9247609069099998,1.0078809472620358,0.47981882095336914,27750.0,nan,nan,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAE,torch,2,16-4,0,0.0011119714472442865,0.6317145817008784,0.0011842116946354508,0.6755934862016505,1.0694600152851135,237.68607449531555,72709.0,600.0,597.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,POD,numpy,4,32-8,0,0.0015067814383655787,0.8561240550865585,0.0015147312078624964,0.8641396294878976,1.0093626319149842,0.7126262187957764,55500.0,nan,nan,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAE,torch,4,32-8,0,0.0009943613549694419,0.5648999072509837,0.0010522915981709957,0.6003329915838234,1.062724535582366,151.04878449440002,93191.0,389.0,364.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,POD,numpy,8,64-16,0,0.0013529250863939524,0.7687058532180436,0.0013676297385245562,0.7802196517710641,1.0149781590771296,0.7056715488433838,111000.0,nan,nan,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAE,torch,8,64-16,0,0.0008695899159647524,0.4940168485228145,0.0009364387951791286,0.5342388975851967,1.081418375066867,132.23348593711853,134155.0,331.0,277.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,POD,numpy,16,128-32,0,0.0011592450318858027,0.6586605942090376,0.0011895382776856422,0.6786201810626823,1.0303032958539344,1.1734161376953125,222000.0,nan,nan,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAE,torch,16,128-32,0,0.0007375426357612014,0.4190003608375876,0.000808263779617846,0.4611149738819647,1.1005121164100895,95.7755937576294,216083.0,263.0,199.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,POD,numpy,32,256-64,0,0.0009248167625628412,0.5254629880735394,0.0009792003547772765,0.558624412951599,1.063108964152997,1.6845600605010986,444000.0,nan,nan,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAE,torch,32,256-64,0,0.000588532886467874,0.33434743950811807,0.000655781477689743,0.37412372864234367,1.1189669321013593,99.89849495887756,379939.0,276.0,196.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,POD,numpy,64,512-128,0,0.0006494339904747903,0.36899582599014336,0.0007283954764716327,0.4155426348197323,1.1261445402659713,2.1392908096313477,888000.0,nan,nan,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAE,torch,64,512-128,0,0.0004122214741073549,0.2341843549393216,0.0004762379976455122,0.27169406496198373,1.1601717161352691,104.5312237739563,707651.0,273.0,193.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,POD,numpy,128,1024-256,0,0.00034889025846496224,0.1982326933766962,0.00043602322693914175,0.24874706998808402,1.254823640595937,2.5066933631896973,1776000.0,nan,nan,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAE,torch,128,1024-256,0,0.00022163642279338092,0.12591236983789292,0.000277255370747298,0.158174356274163,1.2562257106097368,114.73146414756775,1363075.0,307.0,227.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,POD,numpy,256,2048-512,0,9.993448475142941e-05,0.056780840372697594,0.00015448425256181508,0.0881317847533251,1.5521394923859253,3.0325589179992676,3552000.0,nan,nan,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAE,torch,256,2048-512,0,9.832523937802762e-05,0.055858887040904276,0.00013238703832030296,0.07552688522828532,1.352101504868484,117.55648708343506,2673923.0,304.0,224.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AEJax,jax,2,16-4,0,0.0014340848429128528,0.8147082453505124,0.0014744594227522612,0.8411799901931595,1.032492300150047,40.05098366737366,458061.0,304.0,230.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAEJax,jax,2,16-4,0,0.0011132555082440376,0.6324440609148873,0.0011711481492966413,0.6681407257048741,1.0564424065242204,82.82860803604126,72709.0,600.0,600.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AEJax,jax,4,32-8,0,0.0011649057269096375,0.6617867174731633,0.0012573720887303352,0.7173315351690398,1.0839315994554226,35.61787295341492,902535.0,347.0,267.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAEJax,jax,4,32-8,0,0.001001098076812923,0.568727060755632,0.0010556121123954654,0.6022273469520856,1.0589039778623228,49.34461951255798,93191.0,414.0,400.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
