dataset,model,latent,variant,n_params,s_per_epoch,epochs_measured,compile_s,total_fit_s,peak_mem_mb,n_train,n_x,gpu
bl,POD,2,default,27750.0,nan,0,nan,0.7700609060702845,0.0,1798,13875,Tesla T4
bl,AE,2,default,458061.0,0.27251405026763675,15,2.053545114537701,4.087710754014552,261.69344,1798,13875,Tesla T4
bl,AEJax,2,double,902501.0,0.1515144360717386,15,7.634182664891705,2.272716541076079,18.087936,1798,13875,Tesla T4
bl,AE,2,fixed_lg,28957749.0,0.8007100261359786,15,0.6751336296632264,12.010650392039679,849.944576,1798,13875,Tesla T4
bl,CAEJax,2,narrow,24837.0,0.2621186031261459,15,7.227482889848761,3.9317790468921885,18.087936,1798,13875,Tesla T4
bl,CAE,2,wide,237573.0,0.43681439879971246,15,0.7451684004549558,6.552215981995687,1268.71296,1798,13875,Tesla T4
bl,CAEJax,2,deep,210117.0,0.33769809086807073,15,6.513631486357189,5.065471363021061,18.087936,1798,13875,Tesla T4
circle,AEJax,2,default,1066284.0,0.03904939086642116,15,5.193087022192776,0.5857408629963174,18.087936,284,32306,Tesla T4
bl,POD,4,default,55500.0,nan,0,nan,0.8061802849406376,18.087936,1798,13875,Tesla T4
bl,AE,4,default,902535.0,0.29630224146724987,15,0.17529199710891896,4.444533622008748,270.614528,1798,13875,Tesla T4
bl,AEJax,4,double,1792215.0,0.15054637319408357,15,2.978473337646574,2.2581955979112536,18.087936,1798,13875,Tesla T4
bl,AE,4,fixed_lg,28958775.0,0.7886872197346141,15,0.6700483694284534,11.830308296019211,849.969152,1798,13875,Tesla T4
bl,CAEJax,4,narrow,35079.0,0.2599650076047207,15,2.472182184799264,3.8994751140708104,18.087936,1798,13875,Tesla T4
bl,CAE,4,wide,278535.0,0.42756276866421106,15,0.44198623967822637,6.4134415299631655,1269.536768,1798,13875,Tesla T4
bl,CAEJax,4,deep,222407.0,0.3381624129290382,15,2.5949749770729493,5.072436193935573,18.087936,1798,13875,Tesla T4
circle,AEJax,4,default,2100550.0,0.0386866248678416,15,3.2155447143130003,0.580299373017624,18.087936,284,32306,Tesla T4
bl,POD,8,default,111000.0,nan,0,nan,1.1390251759439707,18.087936,1798,13875,Tesla T4
bl,AE,8,default,1792347.0,0.2924848739989102,15,0.39818004197441037,4.387273109983653,288.406528,1798,13875,Tesla T4
bl,AEJax,8,double,3574907.0,0.14807397980087747,15,3.0014035663877925,2.221109697013162,18.087936,1798,13875,Tesla T4
bl,AE,8,fixed_lg,28960827.0,0.7971252331975848,15,0.6513232465833425,11.956878497963771,850.018304,1798,13875,Tesla T4
bl,CAEJax,8,narrow,55563.0,0.26246021906845274,15,2.382024628855288,3.9369032860267907,18.087936,1798,13875,Tesla T4
bl,CAE,8,wide,360459.0,0.4125229092004398,15,0.6671589185173313,6.187843638006598,1271.184896,1798,13875,Tesla T4
bl,CAEJax,8,deep,246987.0,0.3399544842618828,15,2.669754497574953,5.099317263928242,18.087936,1798,13875,Tesla T4
circle,AEJax,8,default,4169946.0,0.03954082853160799,15,2.8741774189285936,0.5931124279741198,18.087936,284,32306,Tesla T4
