tag,runs,test_run,model,latent,branch,r_field,r_sensor,n_delays,ridge,n_params,nmse_train,nmse_test,nmse_latent,cos_test,floor_test,fit_seconds,seed,n_train,n_test
baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,12,1,0.001,768,0.8412014822329998,0.8849379715304276,0.8073666748848349,0.967957198413445,0.3965523485588932,3.071483850479126,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,12,1,0.001,377784,0.8399617273216378,0.8857104772538729,nan,0.967928502214443,0.3965523485588932,1.0466809272766113,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,60,5,0.0001,3840,0.7128429203457706,0.7740307339275297,0.6240221957838742,0.9720360737146665,0.3965523485588932,5.311304569244385,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,60,5,0.0001,1888920,0.7078091642011292,0.7778461655460838,nan,0.9718947543362771,0.3965523485588932,1.136059284210205,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,120,10,0.001,7680,0.6909722659000747,0.7564265116518671,0.5949200647339118,0.9726817601063291,0.3965523485588932,3.1551318168640137,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,120,10,0.001,3777840,0.6827351849266359,0.7625231239704353,nan,0.9724562636391902,0.3965523485588932,1.289555549621582,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,300,25,0.1,19200,0.696640568732338,0.7630271226558206,0.605831756454167,0.9724418587691873,0.3965523485588932,3.2580056190490723,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,300,25,0.1,9444600,0.6866746257484485,0.7681503332164105,nan,0.9722521414363735,0.3965523485588932,1.5314507484436035,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,600,50,0.1,38400,0.6846902096935774,0.7653076200461324,0.6096017232764843,0.9723542689249643,0.3965523485588932,3.626112937927246,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,600,50,0.1,18889200,0.6663088274984544,0.7751258027187268,nan,0.9719914114218884,0.3965523485588932,2.1081974506378174,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,1200,100,1.0,76800,0.7074801267528198,0.7843083148287469,0.6410124099257009,0.9716661213137889,0.3965523485588932,4.600389719009399,0,4365,1521
baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,1200,100,1.0,37778400,0.6913061402012279,0.7894737813081621,nan,0.9714743194615342,0.3965523485588932,3.504155158996582,0,4365,1521
