tag,runs,test_run,model,latent,branch,r_field,r_sensor,n_delays,ridge,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,seed,n_train,n_test
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,12,1,0.0,768,0.8367147976787884,0.833243176086832,0.7469931788685569,0.40915334310304213,0.3992071976524666,0.3398224022289635,13.704384326934814,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,12,1,0.0,377784,0.836330350896879,0.8332291761434834,nan,0.409159210019371,0.3996825507178986,0.3398224022289635,6.145214080810547,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,60,5,0.0001,3840,0.6517703375098259,0.6542407631754262,0.4760001673656612,0.5885846118535998,0.5790040954346892,0.3398224022289635,15.52162480354309,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,60,5,0.0001,1888920,0.650393378580863,0.6544558647505152,nan,0.5883836894032691,0.5800934714464887,0.3398224022289635,6.032905340194702,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,120,10,0.01,7680,0.6234769250526729,0.6272433050419304,0.4351285256736559,0.6112519443335508,0.5936145117174002,0.3398224022289635,17.364318370819092,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,120,10,0.01,3777840,0.6217398032180357,0.6274684951369751,nan,0.6110326977009813,0.5947066642651615,0.3398224022289635,6.961782217025757,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,300,25,0.1,19200,0.6095728543987867,0.613306611034427,0.41402966662443763,0.6229040613029874,0.5950503888737748,0.3398224022289635,17.720800161361694,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,300,25,0.1,9444600,0.6071290766729833,0.6137606511872372,nan,0.6224682215420662,0.5962930127609477,0.3398224022289635,8.63436508178711,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,600,50,0.1,38400,0.6032571603605517,0.6090594378407754,0.40759984126397375,0.6261596897735361,0.6016705381147858,0.3398224022289635,21.21146249771118,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,600,50,0.1,18889200,0.5990148408662661,0.6103740887050026,nan,0.6249929818924073,0.6037225906027874,0.3398224022289635,12.463483810424805,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,1200,100,1.0,76800,0.628834542083897,0.635202956353019,0.44717869775917124,0.6068826054617511,0.5522667381580189,0.3398224022289635,24.883162021636963,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,1200,100,1.0,37778400,0.6251399721390735,0.6358193055011628,nan,0.606204696566062,0.5535198946832505,0.3398224022289635,21.641610860824585,0,21825,7605
multirun,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,12,1,0.001,768,0.8397610105597584,0.8850310501386581,0.8074871310343957,0.34730186248448125,0.3884360980206944,,0.3966461498437189,3.44832706451416,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,12,1,0.001,377784,0.8385348667159819,0.8858331898514202,nan,0.34643956145385624,0.38998531679694814,,0.3966461498437189,1.131216049194336,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,60,5,0.0001,3840,0.7119231360195977,0.7741607860992435,0.624176157717761,0.48014193348532624,0.5019005955919092,,0.3966461498437189,3.4897074699401855,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,60,5,0.0001,1888920,0.7069432752676784,0.7779197227705344,nan,0.4766815246128977,0.5066876929971033,,0.3966461498437189,1.2123045921325684,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,300,25,0.1,19200,0.6955466514234839,0.7631281873939729,0.6059350501999147,0.49110965358270925,0.49069555784264357,,0.3966461498437189,3.637585163116455,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,300,25,0.1,9444600,0.6856746033737294,0.7682126864904428,nan,0.4860422774246532,0.49683825655020414,,0.3966461498437189,1.5844686031341553,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,600,50,0.1,38400,0.6836985239605675,0.7652017044954202,0.6093633674439313,0.4887004581124242,0.5011368225189117,,0.3966461498437189,3.8984999656677246,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,600,50,0.1,18889200,0.6654748470658499,0.7749932681316372,nan,0.4795576977196913,0.5119974567194671,,0.3966461498437189,2.095881938934326,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,linear,64,-1,5,nan,3904,0.7720695708721078,0.8258889296949318,0.7097025739533831,,,,0.3966461498437189,12.31512999534607,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,linear,64,-1,25,nan,19264,0.7047173986757489,0.77308419325994,0.6223961377732947,,,,0.3966461498437189,11.540094375610352,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,linear,64,-1,50,nan,38464,0.695522066306066,0.7810913773896387,0.6356350772586263,,,,0.3966461498437189,11.665104866027832,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,mlp,64,-1,1,nan,26432,0.8417319616129201,0.8917936802015928,0.8186683463923402,,,,0.3966461498437189,3.587146282196045,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,mlp,64,-1,5,nan,32576,0.7181190284085754,0.8065084674086419,0.6776592534489495,,,,0.3966461498437189,4.34354043006897,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,mlp,64,-1,25,nan,63296,0.6822216610310904,0.7824358866076965,0.637858065501062,,,,0.3966461498437189,4.225957870483398,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,mlp,64,-1,50,nan,101696,0.6785237762903509,0.7890453157658956,0.6487859811379013,,,,0.3966461498437189,4.146886587142944,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,cnn,64,-1,1,nan,16416,0.8414443241140599,0.8910330796954915,0.8174107826958292,,,,0.3966461498437189,7.985413074493408,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,cnn,64,-1,5,nan,32800,0.7113628161051944,0.8054402708119269,0.6758931157064821,,,,0.3966461498437189,4.793320655822754,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,cnn,64,-1,25,nan,114720,0.6963295531697296,0.7830286674075574,0.6388381590033855,,,,0.3966461498437189,3.18489670753479,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,cnn,64,-1,50,nan,217120,0.6811376819587188,0.7875506341198854,0.6463147004053938,,,,0.3966461498437189,3.225381374359131,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,gru,64,-1,1,nan,19136,0.8397270389664838,0.8893604325319374,0.8146452568605398,,,,0.3966461498437189,8.184440851211548,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,gru,64,-1,5,nan,19136,0.7291123140526327,0.8115389180730374,0.6859765134059007,,,,0.3966461498437189,7.775560617446899,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,gru,64,-1,25,nan,19136,0.692702420714543,0.8041389111979825,0.6737414702717576,,,,0.3966461498437189,9.808578729629517,0,4415,1521
