tag,runs,test_run,model,latent,branch,r_field,r_sensor,n_delays,ridge,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,nmse_by_run,floor_test,fit_seconds,seed,n_train,n_test
multirun_lin,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,12,1,0.0,768,0.8367147976787884,0.833243176086832,0.7469931788685569,0.40915334310304213,0.3992071976524666,4p5d_10ms_yaw_0_0_0=1.0156;4p5d_10ms_yaw_20_10_0=1.0276;4p5d_10ms_yaw_-20_-10_0=1.1257;4p5d_10ms_yaw_30_15_0=1.1603;4p5d_10ms_yaw_-30_-15_0=1.2137,0.3398224022289635,10.871209383010864,0,21825,7605
multirun_lin,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,12,1,0.0,377784,0.836330350896879,0.8332291761434834,nan,0.409159210019371,0.3996825507178986,4p5d_10ms_yaw_0_0_0=1.0158;4p5d_10ms_yaw_20_10_0=1.0275;4p5d_10ms_yaw_-20_-10_0=1.1258;4p5d_10ms_yaw_30_15_0=1.1600;4p5d_10ms_yaw_-30_-15_0=1.2138,0.3398224022289635,4.933893442153931,0,21825,7605
multirun_lin,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,60,5,0.0001,3840,0.6517703375098259,0.6542407631754262,0.4760001673656612,0.5885846118535998,0.5790040954346892,4p5d_10ms_yaw_0_0_0=0.8144;4p5d_10ms_yaw_20_10_0=0.7915;4p5d_10ms_yaw_-20_-10_0=0.8787;4p5d_10ms_yaw_30_15_0=0.9149;4p5d_10ms_yaw_-30_-15_0=0.9535,0.3398224022289635,12.968794107437134,0,21825,7605
multirun_lin,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,60,5,0.0001,1888920,0.650393378580863,0.6544558647505152,nan,0.5883836894032691,0.5800934714464887,4p5d_10ms_yaw_0_0_0=0.8150;4p5d_10ms_yaw_20_10_0=0.7917;4p5d_10ms_yaw_-20_-10_0=0.8790;4p5d_10ms_yaw_30_15_0=0.9148;4p5d_10ms_yaw_-30_-15_0=0.9538,0.3398224022289635,4.6553497314453125,0,21825,7605
multirun_lin,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,120,10,0.01,7680,0.6234769250526729,0.6272433050419304,0.4351285256736559,0.6112519443335508,0.5936145117174002,4p5d_10ms_yaw_0_0_0=0.7873;4p5d_10ms_yaw_20_10_0=0.7545;4p5d_10ms_yaw_-20_-10_0=0.8380;4p5d_10ms_yaw_30_15_0=0.8735;4p5d_10ms_yaw_-30_-15_0=0.9202,0.3398224022289635,12.456306457519531,0,21825,7605
multirun_lin,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,120,10,0.01,3777840,0.6217398032180357,0.6274684951369751,nan,0.6110326977009813,0.5947066642651615,4p5d_10ms_yaw_0_0_0=0.7881;4p5d_10ms_yaw_20_10_0=0.7546;4p5d_10ms_yaw_-20_-10_0=0.8384;4p5d_10ms_yaw_30_15_0=0.8733;4p5d_10ms_yaw_-30_-15_0=0.9206,0.3398224022289635,5.486084222793579,0,21825,7605
multirun_lin,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,300,25,0.1,19200,0.6095728543987867,0.613306611034427,0.41402966662443763,0.6229040613029874,0.5950503888737748,4p5d_10ms_yaw_0_0_0=0.7781;4p5d_10ms_yaw_20_10_0=0.7360;4p5d_10ms_yaw_-20_-10_0=0.8150;4p5d_10ms_yaw_30_15_0=0.8512;4p5d_10ms_yaw_-30_-15_0=0.9005,0.3398224022289635,12.24447250366211,0,21825,7605
multirun_lin,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,300,25,0.1,9444600,0.6071290766729833,0.6137606511872372,nan,0.6224682215420662,0.5962930127609477,4p5d_10ms_yaw_0_0_0=0.7791;4p5d_10ms_yaw_20_10_0=0.7364;4p5d_10ms_yaw_-20_-10_0=0.8157;4p5d_10ms_yaw_30_15_0=0.8513;4p5d_10ms_yaw_-30_-15_0=0.9012,0.3398224022289635,6.570792198181152,0,21825,7605
multirun_lin,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,podlse,pod,closed-form,64,600,50,0.1,38400,0.6032571603605517,0.6090594378407754,0.40759984126397375,0.6261596897735361,0.6016705381147858,4p5d_10ms_yaw_0_0_0=0.7769;4p5d_10ms_yaw_20_10_0=0.7255;4p5d_10ms_yaw_-20_-10_0=0.8102;4p5d_10ms_yaw_30_15_0=0.8430;4p5d_10ms_yaw_-30_-15_0=0.8968,0.3398224022289635,14.507298946380615,0,21825,7605
multirun_lin,4p5d_10ms_yaw_0_0_0|4p5d_10ms_yaw_20_10_0|4p5d_10ms_yaw_-20_-10_0|4p5d_10ms_yaw_30_15_0|4p5d_10ms_yaw_-30_-15_0,,epod,pod,closed-form,-1,600,50,0.1,18889200,0.5990148408662661,0.6103740887050026,nan,0.6249929818924073,0.6037225906027874,4p5d_10ms_yaw_0_0_0=0.7789;4p5d_10ms_yaw_20_10_0=0.7269;4p5d_10ms_yaw_-20_-10_0=0.8122;4p5d_10ms_yaw_30_15_0=0.8442;4p5d_10ms_yaw_-30_-15_0=0.8987,0.3398224022289635,8.437297821044922,0,21825,7605
