stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,sensor_noise,nmse_fullband,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
A,podlse,pod,closed-form,4,,300,0.0001,25,all,0,1200,0.6034948379378771,0.6691621140061336,0.2611429618773186,0.5796898694147465,0.5908220523812103,0.5511609363540422,0.0,0.7604767930684171,0,nan,nan,0,4365,8.601552724838257,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,epod,pod,closed-form,4,,300,0.0001,25,all,0,9444600,0.5394635875900408,0.6792370765741997,nan,0.5752989416721459,0.644870744146994,0.5511641735286766,0.0,0.7666791566417435,0,nan,nan,0,4365,10.940634489059448,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,linear,4,,-1,0.0001,25,all,0,1204,0.6242281955771098,0.6851020799753621,0.2964136152117267,0.566126676701788,0.5667231860224868,0.5511641735286766,0.0,0.7720458847934349,558,0.23756345348669491,0.2620336711406708,1,3492,49.68513226509094,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,mlp,4,,-1,0.0001,25,all,0,55556,0.6052295105414162,0.7156601179732677,0.3640406131022895,0.5368029894198292,0.5569681749722543,0.5511641735286766,0.0,0.7942826563746375,225,0.062196182212947024,0.3585556745529175,1,3492,14.38296103477478,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,cnn,4,,-1,0.0001,25,all,0,18660,0.6284290769939223,0.712473622377406,0.35698868355909047,0.540404427433021,0.5592110465702881,0.5511641735286766,0.0,0.7919766072721973,209,0.09231951709875126,0.34024208784103394,1,3492,17.06785225868225,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,gru,4,,-1,0.0001,25,all,0,15236,0.6324293840275957,0.7200822829112563,0.37382716219138956,0.5333542404563862,0.533512601238421,0.5511641735286766,0.0,0.7976526657872997,245,0.1402079019554702,0.4093925356864929,1,3492,18.031542539596558,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,linear,4,,-1,0.0001,25,all,0,1204,0.6058607902796901,0.6662711968474024,0.40315687098220104,0.5808218132388608,0.5801711752614779,0.5595093078255724,0.0,0.756909334909162,315,0.24098318246836514,0.2937847077846527,1,3492,29.395400762557983,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,mlp,4,,-1,0.0001,25,all,0,55556,0.6072514468142568,0.6904880022462584,0.432203223241254,0.5620117636378128,0.6143952705291529,0.5595093078255724,0.0,0.7747191413476703,205,0.02746697505434627,0.40782421827316284,1,3492,14.523689985275269,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,cnn,4,,-1,0.0001,25,all,0,18660,0.590223657715519,0.6945735465316977,0.45197203814357173,0.5619299470047755,0.6455493077999922,0.5595093078255724,0.0,0.7774494168978365,210,0.07089879558360863,0.45217612385749817,1,3492,15.6441011428833,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,gru,4,,-1,0.0001,25,all,0,15236,0.6080281764209721,0.6939720349245814,0.4240200612716168,0.563251332690231,0.6510037923267198,0.5595093078255724,0.0,0.7770241581610577,206,0.05722446451635705,0.45315706729888916,1,3492,16.611550331115723,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,podlse,pod,closed-form,8,,300,0.0001,25,all,0,2400,0.5815629147134929,0.6597394116607249,0.3706692382975788,0.5880576380608369,0.6098043347914943,0.45777953378688,0.0,0.7534195488817955,0,nan,nan,0,4365,8.511695623397827,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,epod,pod,closed-form,8,,300,0.0001,25,all,0,9444600,0.5394635875900408,0.6792370765741997,nan,0.5752989416721459,0.644870744146994,0.4577799507419236,0.0,0.7666791566417435,0,nan,nan,0,4365,8.037461042404175,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,linear,8,,-1,0.0001,25,all,0,2408,0.6094555735969271,0.6768847259908352,0.40213655084179556,0.573307613068446,0.5779865857221235,0.4577799507419236,0.0,0.7660618762298186,558,0.31980658372926,0.35076698660850525,1,3492,19.08394503593445,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,mlp,8,,-1,0.0001,25,all,0,56072,0.5958840471555013,0.7104957832559214,0.4638250038815475,0.5419548863331319,0.5592097580521465,0.4577799507419236,0.0,0.7903982275573729,225,0.1613116533007955,0.45161575078964233,1,3492,14.140477895736694,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,cnn,8,,-1,0.0001,25,all,0,25064,0.6165557397885449,0.7090175875752389,0.4611119798873257,0.5435560485307701,0.5634306001826712,0.4577799507419236,0.0,0.7895190913465289,209,0.15809814070371692,0.4545954465866089,1,3492,14.655436277389526,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,gru,8,,-1,0.0001,25,all,0,15496,0.5935180213358741,0.7361786300314418,0.5109623216619247,0.5225013818416668,0.5996378595047731,0.4577799507419236,0.0,0.8091030529284502,282,0.2280532569887985,0.4676762521266937,1,3492,18.67049241065979,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,linear,8,,-1,0.0001,25,all,0,2408,0.58968436171006,0.6666983070010685,0.555037500757996,0.5829865007328513,0.6242109821047791,0.47048177622810006,0.0,0.7567954648823814,312,0.3284394227284063,0.3770589530467987,1,3492,30.48138999938965,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,mlp,8,,-1,0.0001,25,all,0,56072,0.5680033986524032,0.6977540851297889,0.6132182495990737,0.5603595178637625,0.6416030047434987,0.47048177622810006,0.0,0.7795672736775716,209,0.0627471321739282,0.570777416229248,1,3492,14.615383386611938,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,cnn,8,,-1,0.0001,25,all,0,25064,0.6184073243008827,0.696563978482034,0.607918056000651,0.5581972641964819,0.5880760121316428,0.47048177622810006,0.0,0.778790921305947,204,0.15882368431877844,0.5557084679603577,1,3492,15.421442031860352,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,gru,8,,-1,0.0001,25,all,0,15496,0.6229457219553297,0.6935673467032142,0.5829216229275522,0.5620712845037246,0.6050312736941885,0.47048177622810006,0.0,0.7767935247898784,203,0.09899387190295522,0.6120929718017578,1,3492,16.48182725906372,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.5672516218826334,0.6587256267066254,0.45253514630816494,0.5893919918300718,0.6216804373241104,0.3746424771064552,0.0,0.7522623457910665,0,nan,nan,0,4365,8.731447458267212,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,epod,pod,closed-form,16,,300,0.0001,25,all,0,9444600,0.5394635875900408,0.6792370765741997,nan,0.5752989416721459,0.644870744146994,0.37467643887292423,0.0,0.7666791566417435,0,nan,nan,0,4365,8.040079832077026,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.5999835469041024,0.6753845315188463,0.47904425081405516,0.5745794675290283,0.5867954043194669,0.37467643887292423,0.0,0.7647321971466451,558,0.3864854810778628,0.42558956146240234,1,3492,19.093693733215332,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.5842131762655244,0.7095015863836278,0.5333945639162885,0.5429439495629217,0.572645934273978,0.37467643887292423,0.0,0.7896086662368399,227,0.24047770626834442,0.483890563249588,1,3492,14.186324834823608,4365,1521,4p5d_10ms_yaw_0_0_0,band40
