stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
A,podlse,pod,closed-form,4,,300,0.0001,25,all,0,1200,0.7077516239000965,0.7606470444398765,0.26768477197357193,0.4930662090483762,0.5026335315419728,0.6723556954875235,0,nan,nan,0,4365,8.168176412582397,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,epod,pod,closed-form,4,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.6723496456476914,0,nan,nan,0,4365,12.063867807388306,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,linear,4,,-1,0.0001,25,all,0,1204,0.7232059263953718,0.7721589043705941,0.30259849343899897,0.48154702572467645,0.48197842951452197,0.6723496456476914,758,0.242765144793848,0.26645907759666443,1,3492,50.768890380859375,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,mlp,4,,-1,0.0001,25,all,0,55556,0.6990654526760893,0.7964026131884737,0.37609978838430214,0.45589568627804244,0.49705921986321083,0.6723496456476914,430,0.05512551926631152,0.36517998576164246,1,3492,20.24463391304016,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,cnn,4,,-1,0.0001,25,all,0,18660,0.7262961691494516,0.792181717342594,0.36330301241112256,0.4594600200205436,0.4768169019898416,0.6723496456476914,409,0.0981978981970102,0.36898162961006165,1,3492,23.566736936569214,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,gru,4,,-1,0.0001,25,all,0,15236,0.7301586168647676,0.8071373743607408,0.408645091292259,0.44252346070800946,0.4457845451166618,0.6723496456476914,445,0.15353571399107557,0.41757577657699585,1,3492,25.42508888244629,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,linear,4,,-1,0.0001,25,all,0,1204,0.7071888261616269,0.7605844453268168,0.4288973241103601,0.49285583065464644,0.5179138163533792,0.6748234619928721,462,0.2184761800682695,0.26505202054977417,1,3492,39.611876010894775,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,mlp,4,,-1,0.0001,25,all,0,55556,0.705101782493841,0.7737964003176315,0.4584840736085101,0.48083320404731056,0.5296763391901992,0.6748234619928721,405,0.024206943212574154,0.41522952914237976,1,3492,20.233625650405884,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,cnn,4,,-1,0.0001,25,all,0,18660,0.6962300084423422,0.7933152511003129,0.5080490256047623,0.4683011473050036,0.5666901843057232,0.6748234619928721,410,0.0651010758620084,0.4062621593475342,1,3492,22.290478944778442,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,gru,4,,-1,0.0001,25,all,0,15236,0.7120371730638948,0.7745693461767816,0.4418022391615108,0.48235989354020103,0.5477096270381502,0.6748234619928721,406,0.048631117362337016,0.4813646078109741,1,3492,24.208279609680176,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,podlse,pod,closed-form,8,,300,0.0001,25,all,0,2400,0.6910972366180629,0.7535976505211077,0.37948535846283393,0.500419756445684,0.5191377014481443,0.6017459337127296,0,nan,nan,0,4365,8.153580665588379,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,epod,pod,closed-form,8,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.6017111009473041,0,nan,nan,0,4365,7.652350187301636,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,linear,8,,-1,0.0001,25,all,0,2408,0.7124038533472532,0.7666167863782883,0.41206822238755353,0.4872370125142575,0.4912908937494048,0.6017111009473041,758,0.32797540230985905,0.36038631200790405,1,3492,23.201680421829224,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,mlp,8,,-1,0.0001,25,all,0,56072,0.7082462954516444,0.7927567457322671,0.47738705330672754,0.45798889058237185,0.45605472346152987,0.6017111009473041,423,0.1721681666401517,0.45940324664115906,1,3492,19.717131853103638,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,cnn,8,,-1,0.0001,25,all,0,25064,0.7183602303672781,0.7898022001929486,0.470004200949829,0.46190671648432235,0.4783804508500358,0.6017111009473041,409,0.16831893409855178,0.4477238655090332,1,3492,21.212538480758667,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,gru,8,,-1,0.0001,25,all,0,15496,0.6979014858050017,0.7959158792718218,0.4852811325104067,0.4583005049724981,0.5145415785038929,0.6017111009473041,471,0.21434908159683114,0.4652858376502991,1,3492,25.769152879714966,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,linear,8,,-1,0.0001,25,all,0,2408,0.6938380860651875,0.7584113263999507,0.5267688247254264,0.4968066409208116,0.5426765067849596,0.6071768617303561,510,0.34063867925914837,0.39737868309020996,1,3492,38.04234004020691,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,mlp,8,,-1,0.0001,25,all,0,56072,0.6961036448812976,0.7797818061753331,0.5504011195851258,0.4829380337861878,0.5783315982317373,0.6071768617303561,406,0.07738382126901294,0.5487054586410522,1,3492,20.138951539993286,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,cnn,8,,-1,0.0001,25,all,0,25064,0.6985007206386589,0.7753118043331878,0.5471413579666125,0.4837410405523069,0.5595643507741207,0.6071768617303561,408,0.15878531304353427,0.570830225944519,1,3492,22.13012170791626,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,gru,8,,-1,0.0001,25,all,0,15496,0.7120183269418436,0.7779124301867324,0.5424866478836244,0.48224124022576,0.5540280546587917,0.6071768617303561,404,0.11259799565851074,0.604320228099823,1,3492,24.123284101486206,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,0,nan,nan,0,4365,8.362679719924927,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,epod,pod,closed-form,16,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.5304652416362131,0,nan,nan,0,4365,7.651687383651733,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7049496685304051,0.7650515498313072,0.49776749836331496,0.48881949255051577,0.49895964187192915,0.5304652416362131,758,0.40553734252679524,0.43352392315864563,1,3492,23.05131196975708,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.6914888848389803,0.7873142600709554,0.5450066303827373,0.4641132336257577,0.48370325702341327,0.5304652416362131,427,0.25087332647007904,0.49600207805633545,1,3492,19.802869081497192,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.7098403634307321,0.7863571885518321,0.542975825177207,0.4655838195310713,0.4825011593334933,0.5304652416362131,409,0.22811008554553658,0.5095837712287903,1,3492,21.196586847305298,4365,1521,4p5d_10ms_yaw_0_0_0,clean
