stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,sensor_noise,weight_decay,lr,ensemble,nmse_fullband,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
A,podlse,pod,closed-form,4,,300,0.0001,25,all,0,1200,0.7077516239000965,0.7606470444398765,0.26768477197357193,0.4930662090483762,0.5026335315419728,0.6723556954875235,0.1,0.0,0.001,1,nan,0,nan,nan,0,4365,8.220599889755249,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,epod,pod,closed-form,4,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.6723496456476914,0.1,0.0,0.001,1,nan,0,nan,nan,0,4365,12.174734592437744,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,pod,linear,4,,-1,0.0001,25,all,0,1204,0.7256445319989845,0.7746235348579877,0.3100706807081149,0.47898992403933266,0.4776416605836487,0.6723496456476914,0.1,0.0,0.001,1,nan,1035,0.25229376865143355,0.27142414450645447,1,3492,54.60862994194031,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,pod,mlp,4,,-1,0.0001,25,all,0,55556,0.7109446028705972,0.7949653485289443,0.371742335716968,0.4555734478620361,0.4543928695191237,0.6723496456476914,0.1,0.0,0.001,1,nan,263,0.1254615767988006,0.34352150559425354,1,3492,15.438997745513916,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,pod,cnn,4,,-1,0.0001,25,all,0,18660,0.7268347637289415,0.7951545785955695,0.3723160373334998,0.45650371705358483,0.48542832760219207,0.6723496456476914,0.1,0.0,0.001,1,nan,222,0.17415136447067522,0.34983187913894653,1,3492,17.638242483139038,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,pod,gru,4,,-1,0.0001,25,all,0,15236,0.7418070204343467,0.8060196254389277,0.4052563361395658,0.4450328457957845,0.4249881717038391,0.6723496456476914,0.1,0.0,0.001,1,nan,313,0.23488635210510245,0.38893309235572815,1,3492,20.661518096923828,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,ae,linear,4,,-1,0.0001,25,all,0,1204,0.7080732333997738,0.7596898085030488,0.42985912449598396,0.49350816283255294,0.5054323208800294,0.6748234619928721,0.1,0.0,0.001,1,nan,282,0.23192013277835452,0.2677471339702606,1,3492,31.715423583984375,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,ae,mlp,4,,-1,0.0001,25,all,0,55556,0.7080500019644577,0.7686897356556446,0.4516258774599952,0.4845883054214591,0.5068055849528358,0.6748234619928721,0.1,0.0,0.001,1,nan,207,0.08983728339957481,0.33902454376220703,1,3492,14.526334524154663,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,ae,cnn,4,,-1,0.0001,25,all,0,18660,0.6904385289304413,0.7766077909371623,0.46406659591172716,0.4811051113506904,0.5454235315002406,0.6748234619928721,0.1,0.0,0.001,1,nan,219,0.10156320032043828,0.3396570682525635,1,3492,15.954303979873657,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,ae,gru,4,,-1,0.0001,25,all,0,15236,0.7130235843240464,0.7729157980677617,0.44436795679102387,0.48260993858442247,0.5353342389409776,0.6748234619928721,0.1,0.0,0.001,1,nan,210,0.1512573673245833,0.3151127099990845,1,3492,16.7515549659729,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
