stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,sensor_noise,weight_decay,lr,ensemble,nmse_fullband,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
W,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,0.0,0.0,0.001,1,nan,0,nan,nan,0,4365,8.479220628738403,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7074528027493753,0.7668977328144574,0.5016849046779206,0.4869026298041725,0.4953182473217345,0.5304652416362131,0.0,0.0,0.001,1,nan,985,0.41140824593902314,0.43633806705474854,1,3492,54.81667876243591,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.6904618462989558,0.7859342894506198,0.5420784777177999,0.465113170450522,0.4701918505615914,0.5304652416362131,0.0,0.0,0.001,1,nan,270,0.30406650911082106,0.49552908539772034,1,3492,15.300130605697632,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.7064005352212167,0.788075605500884,0.546622125391639,0.4646268692418206,0.5015359213478231,0.5304652416362131,0.0,0.0,0.001,1,nan,225,0.3241459631701379,0.48327744007110596,1,3492,15.237611293792725,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.7171651441573661,0.8046564365112302,0.5818049066728933,0.44589738161253734,0.460321776314011,0.5304652416362131,0.0,0.0,0.001,1,nan,332,0.38392084966683576,0.5378552675247192,1,3492,20.637635946273804,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.6965115097007941,0.7635542368577704,0.6440584478120043,0.4936055625306822,0.5473118903413955,0.5518162123687468,0.0,0.0,0.001,1,nan,289,0.4248715470473518,0.4636799097061157,1,3492,30.118329763412476,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.6952844356531713,0.7725021903424855,0.6537901544634405,0.48554892402925,0.5478511319365934,0.5518162123687468,0.0,0.0,0.001,1,nan,209,0.27334791691579086,0.5483222603797913,1,3492,14.661342859268188,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.6953924703365265,0.7755625250218292,0.6586555215401784,0.48497770228450066,0.5595472847798,0.5518162123687468,0.0,0.0,0.001,1,nan,209,0.28641115164838704,0.5729745626449585,1,3492,15.628713607788086,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.7140179926294845,0.7822601054499552,0.6525179581166268,0.48045395363305154,0.5692744804330948,0.5518162123687468,0.0,0.0,0.001,1,nan,209,0.3657617783013898,0.523966908454895,1,3492,16.80118155479431,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,0.0,1e-06,0.001,1,nan,0,nan,nan,0,4365,8.539100170135498,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7078808075009292,0.7670092850985759,0.5019216069041911,0.48675764612517497,0.49296305917173977,0.5304652416362131,0.0,1e-06,0.001,1,nan,979,0.41238854540445824,0.43659624457359314,1,3492,28.762145519256592,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.6930859582325344,0.786387051453973,0.5430391911179,0.46463235983754386,0.4651457751317906,0.5304652416362131,0.0,1e-06,0.001,1,nan,268,0.3087443189795757,0.49399033188819885,1,3492,15.578218221664429,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.7064349185810292,0.788053805645756,0.5465758683895352,0.46464264793661425,0.5014524586993372,0.5304652416362131,0.0,1e-06,0.001,1,nan,225,0.32435388523415326,0.48313742876052856,1,3492,15.298870325088501,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.7218819826259475,0.8015008923476302,0.5751091735059612,0.4488546469124408,0.4513285262801872,0.5304652416362131,0.0,1e-06,0.001,1,nan,327,0.390592227174654,0.530712366104126,1,3492,20.735138177871704,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.6965116948500917,0.7635540705017144,0.6440584363106254,0.49360564535864465,0.5473107115882163,0.5518162123687468,0.0,1e-06,0.001,1,nan,289,0.424872331124947,0.463679701089859,1,3492,14.650319814682007,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.6952879913903611,0.7724994328675174,0.6537853468428159,0.4855508705719162,0.5478447758629348,0.5518162123687468,0.0,1e-06,0.001,1,nan,209,0.27337914776965927,0.5482786297798157,1,3492,14.777945280075073,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.6953953788295701,0.7755599001809594,0.6586511315362719,0.4849794824138741,0.5595406696079542,0.5518162123687468,0.0,1e-06,0.001,1,nan,209,0.2864202812979721,0.5729563236236572,1,3492,15.787026166915894,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.7140209243184991,0.7822586471707852,0.6525139786853336,0.4804565995225128,0.5692866601198711,0.5518162123687468,0.0,1e-06,0.001,1,nan,209,0.36584806950914356,0.5239832997322083,1,3492,17.00100874900818,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,0.0,1e-05,0.001,1,nan,0,nan,nan,0,4365,8.641392707824707,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7122190485474349,0.7691970291864774,0.506563769995774,0.48456869191745433,0.47556364059046424,0.5304652416362131,0.0,1e-05,0.001,1,nan,965,0.42177675382787827,0.44162827730178833,1,3492,28.401623249053955,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.6865173221390973,0.7850828975770994,0.5402719136166387,0.4661777995823628,0.4782511866837755,0.5304652416362131,0.0,1e-05,0.001,1,nan,275,0.29988408262787,0.4864754378795624,1,3492,15.810668706893921,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.7067622690458019,0.7878743052675176,0.5461949874467449,0.4647741733343281,0.500777281864197,0.5304652416362131,0.0,1e-05,0.001,1,nan,225,0.32619575963260655,0.48199141025543213,1,3492,15.340105056762695,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
W,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.6982014951377479,0.7986329085835747,0.5690236132933285,0.45390041457265584,0.49476568186278846,0.5304652416362131,0.0,1e-05,0.001,1,nan,367,0.36132370664355135,0.49968960881233215,1,3492,22.423084020614624,4365,1521,4p5d_10ms_yaw_0_0_0,hyper
