stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
R,podlse,pod,closed-form,2,12,12,1e-06,25,all,0,24,0.8480977330837354,0.8753046691218345,0.49971111936654056,0.36380511436510865,0.3697949598903965,0.7461234650593884,3.117082357406616,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,12,12,0.0001,25,all,0,24,0.8480977430105552,0.8753034924440203,0.4997065676286011,0.3638055120708219,0.3697213944503626,0.7461234650593884,3.0200421810150146,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,12,12,0.001,25,all,0,24,0.8480987191972655,0.8752936698924673,0.4996685710929031,0.36380866058623323,0.3690552540298879,0.7461234650593884,2.8788864612579346,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,12,12,0.01,25,all,0,24,0.8481900497784592,0.8752759960060211,0.49960020327079113,0.3637961532707424,0.3626441128145431,0.7461234650593884,2.8934130668640137,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,12,12,0.1,25,all,0,24,0.8534302934078999,0.8793955721216926,0.5155359425837862,0.36089430780958137,0.3159322016638491,0.7461234650593884,2.8498551845550537,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,25,25,1e-06,25,all,0,50,0.8255358486741191,0.8625515125843791,0.45037813648376934,0.38189244250373827,0.40183387820660277,0.7461234650593884,3.0059492588043213,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,25,25,0.0001,25,all,0,50,0.8255358617827893,0.8625419518312654,0.450341152661895,0.38190008979331896,0.40176345219915344,0.7461234650593884,3.030688762664795,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,25,25,0.001,25,all,0,50,0.8255371424877957,0.8624570041136507,0.4500125497558845,0.38196811714277357,0.4011269543922878,0.7461234650593884,2.888151168823242,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,25,25,0.01,25,all,0,50,0.8256501648538528,0.8617794645420155,0.4473916262228197,0.3825178961178245,0.39509979701987813,0.7461234650593884,2.8912408351898193,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,25,25,0.1,25,all,0,50,0.8306648005379024,0.8623525821676535,0.4496086147724679,0.3824046751811761,0.3532956894026983,0.7461234650593884,2.8867299556732178,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,50,50,1e-06,25,all,0,100,0.8206012149336342,0.8594540056772288,0.4383960632785256,0.3863186548781875,0.4018608428876292,0.7461234650593884,2.9398441314697266,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,50,50,0.0001,25,all,0,100,0.8206012264798646,0.8594472752350519,0.43837002793678603,0.38632423008918926,0.4018144890076826,0.7461234650593884,3.058002233505249,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,50,50,0.001,25,all,0,100,0.8206023469019592,0.8593875344158697,0.43813893277211396,0.38637362227573124,0.4013963864802087,0.7461234650593884,2.9486608505249023,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,50,50,0.01,25,all,0,100,0.8206956581558716,0.8589110184427143,0.436295627996704,0.3867602512868858,0.39749680606794735,0.7461234650593884,2.8332698345184326,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,50,50,0.1,25,all,0,100,0.8240452612180031,0.8586351392236519,0.4352284455504012,0.38685222830544397,0.37056949728888045,0.7461234650593884,2.8861143589019775,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
