stage,model,latent,branch,r_field,r_sensor,r_sensor_used,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,floor_test,fit_seconds,n_train,n_test,run,tag
A,podlse,pod,closed-form,4,,300,25,all,0,1200,0.7672446849271422,0.8282188808642659,0.5506518518784657,0.6167809301399843,3.3422110080718994,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,epod,pod,closed-form,4,,300,25,all,0,3492600,0.7128067497481447,0.8519235094143888,nan,0.6167775049518939,7.470642566680908,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,linear,4,,-1,25,all,0,1204,0.7850316077440909,0.8368678303190668,0.5731800482917173,0.6167775049518939,30.01668906211853,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,mlp,4,,-1,25,all,0,55556,0.7837983290563362,0.8421801786817373,0.5870149685044893,0.6167775049518939,4.192387819290161,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,cnn,4,,-1,25,all,0,18660,0.785443137397975,0.846918475660276,0.5993548897911178,0.6167775049518939,6.603121519088745,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,gru,4,,-1,25,all,0,15236,0.7931062184096296,0.8495149401265313,0.6061168482082957,0.6167775049518939,5.7756922245025635,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,linear,4,,-1,25,all,0,1204,0.7879059543017004,0.8392366187130466,0.6493159082080456,0.5853300942764318,19.39683699607849,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,mlp,4,,-1,25,all,0,55556,0.78448456348703,0.8450565328284457,0.6614309495219508,0.5853300942764318,3.743741512298584,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,cnn,4,,-1,25,all,0,18660,0.8023679936732449,0.8462963850381579,0.6607535441500378,0.5853300942764318,3.840482711791992,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,gru,4,,-1,25,all,0,15236,0.7754361407520751,0.8414395906525158,0.6229298194179791,0.5853300942764318,4.4025559425354,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,podlse,pod,closed-form,8,,300,25,all,0,2400,0.7526549314117651,0.8305913228294789,0.656071501797294,0.5062274384960006,3.174191474914551,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,epod,pod,closed-form,8,,300,25,all,0,3492600,0.7128067497481447,0.8519235094143888,nan,0.5061868539642355,3.1360785961151123,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,linear,8,,-1,25,all,0,2408,0.7771751315668249,0.8368758395646221,0.6688118142684953,0.5061868539642355,8.345288038253784,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,mlp,8,,-1,25,all,0,56072,0.7805655234599493,0.8411315688545925,0.6774189410595285,0.5061868539642355,3.8368005752563477,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,cnn,8,,-1,25,all,0,25064,0.7771246087783295,0.8456169321910028,0.686490498085329,0.5061868539642355,3.9990580081939697,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,gru,8,,-1,25,all,0,15496,0.7843012089215292,0.8535378433909594,0.7025103814832732,0.5061868539642355,5.1627726554870605,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,linear,8,,-1,25,all,0,2408,0.7785116216279357,0.8355455846945608,0.7050249313127135,0.4922173771952452,20.409074783325195,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,mlp,8,,-1,25,all,0,56072,0.7956266366761813,0.843607085361216,0.7221152680136685,0.4922173771952452,3.6608810424804688,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,cnn,8,,-1,25,all,0,25064,0.796779820271191,0.8453716078573439,0.7262636369791003,0.4922173771952452,3.851470708847046,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,gru,8,,-1,25,all,0,15496,0.7769298346089627,0.8286403189895819,0.669520722454038,0.4922173771952452,4.322797775268555,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,podlse,pod,closed-form,16,,300,25,all,0,4800,0.7407181701361861,0.8312307175699534,0.7120583197992468,0.41255250884973405,3.4584414958953857,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,epod,pod,closed-form,16,,300,25,all,0,3492600,0.7128067497481447,0.8519235094143888,nan,0.41257984962220423,3.1414482593536377,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,linear,16,,-1,25,all,0,4816,0.7708478525867903,0.8371713391142277,0.7221465308702538,0.41257984962220423,8.399045705795288,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,mlp,16,,-1,25,all,0,57104,0.7777101239039665,0.8375913949090794,0.7228609630775196,0.41257984962220423,3.8795106410980225,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,cnn,16,,-1,25,all,0,37872,0.7690906471929081,0.8453181540191644,0.7360026590943045,0.41257984962220423,4.035114049911499,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,gru,16,,-1,25,all,0,16016,0.7783222049155631,0.8518456835677154,0.7471047017289288,0.41257984962220423,5.280168771743774,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,linear,16,,-1,25,all,0,4816,0.7773304780298271,0.8396904703939727,0.7729275324507688,0.420957163238038,18.488288402557373,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,mlp,16,,-1,25,all,0,57104,0.7811757462876836,0.8409744752177956,0.7740682778100612,0.420957163238038,3.742990255355835,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,cnn,16,,-1,25,all,0,37872,0.7997003207999895,0.8495660579654801,0.7879452167201427,0.420957163238038,3.8427274227142334,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,gru,16,,-1,25,all,0,16016,0.7813211689407298,0.832063546048169,0.7442739854103935,0.420957163238038,4.322203636169434,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,podlse,pod,closed-form,32,,300,25,all,0,9600,0.7315039691212664,0.8350873139723265,0.7586075201061585,0.3158572092120758,3.833743095397949,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,epod,pod,closed-form,32,,300,25,all,0,3492600,0.7128067497481447,0.8519235094143888,nan,0.3157447372899361,3.152475118637085,4365,1521,4p5d_10ms_yaw_0_0_0,main
