stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,sensor_noise,nmse_fullband,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
N,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,0.0,nan,0,nan,nan,0,4365,8.229524612426758,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7049496685304051,0.7650515498313072,0.49776749836331496,0.48881949255051577,0.49895964187192915,0.5304652416362131,0.0,nan,558,0.4055401917721944,0.433529257774353,1,3492,52.63781714439392,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.6914888848389803,0.7873142600709554,0.5450066303827373,0.4641132336257577,0.48370325702341327,0.5304652416362131,0.0,nan,227,0.2512312350711462,0.49567097425460815,1,3492,13.97183632850647,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.709840494887366,0.7863573681670893,0.542976206301911,0.4655836552364432,0.4825020535410272,0.5304652416362131,0.0,nan,209,0.22859735771552803,0.5094680786132812,1,3492,16.787781715393066,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.6875361928858088,0.7995090521906926,0.5708826979725559,0.45488103217798187,0.5182763531628982,0.5304652416362131,0.0,nan,280,0.30027541818624237,0.5270565748214722,1,3492,19.22814416885376,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.6932013133145073,0.762450036297236,0.6413339330982754,0.49499576029668907,0.5524314402035967,0.5518162123687468,0.0,nan,289,0.4186280305920871,0.4615885019302368,1,3492,30.631901264190674,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.6994286875818932,0.7848138924956453,0.6729399422215481,0.4766668520671972,0.5652884766867248,0.5518162123687468,0.0,nan,205,0.17037564254913135,0.654482364654541,1,3492,14.027404546737671,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.7020920812850628,0.7734290929026169,0.6527459303120035,0.4856241570107253,0.5459190627245696,0.5518162123687468,0.0,nan,206,0.25182738538323673,0.6126176118850708,1,3492,14.93024754524231,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.7151490004377896,0.7827573287245702,0.6546855318399052,0.47971303282686384,0.5577917866272911,0.5518162123687468,0.0,nan,204,0.22193335824542576,0.6460555791854858,1,3492,15.977060317993164,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,0.05,nan,0,nan,nan,0,4365,8.124550580978394,4365,1521,4p5d_10ms_yaw_0_0_0,noise
