stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
A,podlse,pod,closed-form,4,,300,0.0001,25,all,0,1200,0.7077516239000965,0.7606470444398765,0.26768477197357193,0.4930662090483762,0.5026335315419728,0.6723556954875235,8.706966161727905,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,epod,pod,closed-form,4,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.6723496456476914,12.700741529464722,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,linear,4,,-1,0.0001,25,all,0,1204,0.7321122812513194,0.7805329865236668,0.3279867657884533,0.47281738956747427,0.46675629278225145,0.6723496456476914,42.1035361289978,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,mlp,4,,-1,0.0001,25,all,0,55556,0.7126210230338009,0.7972580661192016,0.37869332300582315,0.4530620307503378,0.44918384663052924,0.6723496456476914,10.664788961410522,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,cnn,4,,-1,0.0001,25,all,0,18660,0.7237858623989699,0.7959490370032943,0.37472465072622074,0.45627397438632183,0.493165352116937,0.6723496456476914,12.510330438613892,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,gru,4,,-1,0.0001,25,all,0,15236,0.7568497064974211,0.814134189497191,0.4298578098942375,0.4362025705555299,0.4136700553715084,0.6723496456476914,13.99273943901062,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,linear,4,,-1,0.0001,25,all,0,1204,0.7069105570855873,0.7589788198981016,0.4249987666928362,0.49420606097664976,0.5091663264928885,0.6748234619928721,28.97624111175537,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,mlp,4,,-1,0.0001,25,all,0,55556,0.7033947998322121,0.770343339549399,0.4570007677146017,0.4839641489321958,0.5214778565254463,0.6748234619928721,9.8447585105896,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,cnn,4,,-1,0.0001,25,all,0,18660,0.7063605568626585,0.7715292682358987,0.45472005158959494,0.48351359856110177,0.5262067684216435,0.6748234619928721,10.068364143371582,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,gru,4,,-1,0.0001,25,all,0,15236,0.7093541111435955,0.772954003203544,0.44031202889695925,0.48291992553519486,0.5396626725952414,0.6748234619928721,10.519571304321289,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,podlse,pod,closed-form,8,,300,0.0001,25,all,0,2400,0.6910972366180629,0.7535976505211077,0.37948535846283393,0.500419756445684,0.5191377014481443,0.6017459337127296,8.44559121131897,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,epod,pod,closed-form,8,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.6017111009473041,7.999300718307495,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,linear,8,,-1,0.0001,25,all,0,2408,0.723454280651299,0.7760611880378158,0.43566800182016957,0.47744626374774995,0.47331188056374557,0.6017111009473041,16.346980094909668,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,mlp,8,,-1,0.0001,25,all,0,56072,0.70642158714747,0.7915576457648075,0.4743907285240814,0.45927685317679745,0.451144849535516,0.6017111009473041,10.682859182357788,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,cnn,8,,-1,0.0001,25,all,0,25064,0.7156524324611157,0.7933781350676852,0.4789397881210976,0.4591676204601468,0.4983656308760236,0.6017111009473041,9.95073652267456,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,gru,8,,-1,0.0001,25,all,0,15496,0.7269486337961881,0.8053166741826387,0.5087719468980738,0.44527229028988785,0.461572647785247,0.6017111009473041,14.544077396392822,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,linear,8,,-1,0.0001,25,all,0,2408,0.6956493108463304,0.7586033792597255,0.5300373678503788,0.4962662255500985,0.5366859759534796,0.6071768617303561,27.309285640716553,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,mlp,8,,-1,0.0001,25,all,0,56072,0.6957455992513892,0.7703951808562179,0.5458264974705228,0.48519523924237806,0.5354885501832105,0.6071768617303561,10.031595468521118,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,cnn,8,,-1,0.0001,25,all,0,25064,0.6891833613700012,0.7741180272194498,0.5545602025455725,0.48411448685090935,0.5538292377241006,0.6071768617303561,10.47903299331665,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,gru,8,,-1,0.0001,25,all,0,15496,0.7117468725599695,0.7788873386206826,0.5419139403925421,0.4818164059165677,0.5633329345108975,0.6071768617303561,10.947320699691772,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,9.001708030700684,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,epod,pod,closed-form,16,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.5304652416362131,8.009333610534668,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7166072333531697,0.7740761209399324,0.5169166900578541,0.47939496385903313,0.4798936386187214,0.5304652416362131,16.33551597595215,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.6904618462989558,0.7859342894506198,0.5420784777177999,0.465113170450522,0.4701918505615914,0.5304652416362131,10.803354024887085,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.7064005793614037,0.7880757577917223,0.5466224485367972,0.46462674577703067,0.5015363002704355,0.5304652416362131,9.813852071762085,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.7171651441573661,0.8046564365112302,0.5818049066728933,0.44589738161253734,0.460321776314011,0.5304652416362131,14.558330774307251,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.6965115097007941,0.7635542368577704,0.6440584478120043,0.4936055625306822,0.5473118903413955,0.5518162123687468,27.724151134490967,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.6952844356531713,0.7725021903424855,0.6537901544634405,0.48554892402925,0.5478511319365934,0.5518162123687468,10.431667804718018,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.6953923492483106,0.7755621885305144,0.6586555093499336,0.4849778686225574,0.5595453342452135,0.5518162123687468,10.369163036346436,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.7140179926294845,0.7822601054499552,0.6525179581166268,0.48045395363305154,0.5692744804330948,0.5518162123687468,10.562723875045776,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,podlse,pod,closed-form,32,,300,0.0001,25,all,0,9600,0.6725824813699284,0.7557658511927118,0.544772605869886,0.4993040383103995,0.5367988610664788,0.4616230950213562,8.97519588470459,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,epod,pod,closed-form,32,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.46128124032498835,7.960383176803589,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,linear,32,,-1,0.0001,25,all,0,9632,0.7129952749113332,0.7745636816841722,0.5798544053541814,0.4789552026581531,0.4839476705480006,0.46128124032498835,16.377660036087036,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,mlp,32,,-1,0.0001,25,all,0,59168,0.6902958491503915,0.7885620015350638,0.6057638926458426,0.4623485752468888,0.4710718761386624,0.46128124032498835,10.936385869979858,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,cnn,32,,-1,0.0001,25,all,0,63488,0.7007019670858378,0.7861926562292869,0.6013784719136772,0.4667064434955146,0.5035414589158063,0.46128124032498835,10.135141611099243,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,gru,32,,-1,0.0001,25,all,0,17056,0.7254074485312635,0.8065042267745236,0.63897315359842,0.4435857186392887,0.446352765367519,0.46128124032498835,14.290226697921753,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,linear,32,,-1,0.0001,25,all,0,9632,0.6949968507531171,0.7673063083787736,0.7249957386068259,0.49190883588366574,0.5649271649090457,0.5044656023458448,29.751606464385986,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,mlp,32,,-1,0.0001,25,all,0,59168,0.6897886679435699,0.7783535301216243,0.7289591734683324,0.48612124703586007,0.5917507595328861,0.5044656023458448,10.147488594055176,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,cnn,32,,-1,0.0001,25,all,0,63488,0.7033099517289753,0.7782596324378488,0.7411413909170321,0.48232805025351294,0.5558771875556622,0.5044656023458448,10.250340461730957,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,gru,32,,-1,0.0001,25,all,0,17056,0.7162408842436079,0.7808995185464066,0.7237558472834948,0.48254560458882034,0.5785476716171379,0.5044656023458448,10.5924711227417,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,podlse,pod,closed-form,64,,300,0.0001,25,all,0,19200,0.6671400214324059,0.7591388299912847,0.5994038892691241,0.4965671963129756,0.5419128942222968,0.39655234855889326,10.015269756317139,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,epod,pod,closed-form,64,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.39596951628920496,8.184334516525269,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,linear,64,,-1,0.0001,25,all,0,19264,0.7105115362665906,0.7761981324424255,0.6279652170364625,0.47731679443069824,0.48698130690145586,0.39596951628920496,16.804119110107422,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,mlp,64,,-1,0.0001,25,all,0,63296,0.6806038181999624,0.7877210071348725,0.6469957797025047,0.46378808592242987,0.4862494811539368,0.39596951628920496,11.32295536994934,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
