model,sweep,value,n_latent,learning_rate,weight_decay,batch_size,width,noise,n_params,train_loss,val_loss,test_mse_clean,test_rel_clean,n_epochs_run,fit_s
AEJax,n_latent,2,2,0.001,1e-06,32,1.0,0.0,458061.0,0.862689903804234,0.8829794526100159,0.0014750800328329206,0.8415340486185777,400,23.92303461697884
CAEJax,n_latent,4,4,0.001,1e-06,32,1.0,0.0,93191.0,0.6899322782244001,0.7118611931800842,0.0010587222641333938,0.6040016903948685,400,116.77905330096837
AEJax,n_latent,16,16,0.001,1e-06,32,1.0,0.0,3575427.0,0.3538938249860491,0.45533087849617004,0.0006439922144636512,0.3673979468596226,286,24.206032280926593
CAEJax,n_latent,32,32,0.001,1e-06,32,1.0,0.0,379939.0,0.4124994618552072,0.4534183740615845,0.0006558538298122585,0.37416500557188737,271,78.04499725997448
AEJax,n_latent,128,128,0.001,1e-06,32,1.0,0.0,29022387.0,0.007220094225236348,0.044475164264440536,5.94265220570378e-05,0.033902866684417186,400,158.29716106690466
CAEJax,n_latent,256,256,0.001,1e-06,32,1.0,0.0,2673923.0,0.06492183038166591,0.0899534821510315,0.00013111279986333102,0.0747999314198593,280,90.48929280007724
AEJax,learning_rate,3e-05,32,3e-05,1e-06,32,1.0,0.0,7155411.0,0.3976997988564627,0.45798367261886597,0.0006341616972349584,0.3617896308500916,400,52.884449204895645
CAEJax,learning_rate,0.0001,32,0.0001,1e-06,32,1.0,0.0,379939.0,0.45011540821620394,0.4894205629825592,0.0007071709842421114,0.4034414731327702,400,111.55654079606757
AEJax,learning_rate,0.001,32,0.001,1e-06,32,1.0,0.0,7155411.0,0.13008461679731095,0.22977179288864136,0.00031803984893485904,0.18144192568465742,346,42.636502095963806
CAEJax,learning_rate,0.003,32,0.003,1e-06,32,1.0,0.0,379939.0,0.3849873202187674,0.41972798109054565,0.0006040099542587996,0.34458804329222664,266,74.24872593197506
AEJax,learning_rate,0.03,32,0.03,1e-06,32,1.0,0.0,7155411.0,0.15173964841025217,0.3078697621822357,0.00042298974585719407,0.24131590519310264,400,49.15323148400057
CAEJax,weight_decay,0.0,32,0.001,0.0,32,1.0,0.0,379939.0,0.4155971663338797,0.4558049142360687,0.0006585693336091936,0.37571420212625,249,70.25048326305114
AEJax,weight_decay,1e-07,32,0.001,1e-07,32,1.0,0.0,7155411.0,0.12575416905539377,0.23251888155937195,0.00032142025884240866,0.1833704515762507,320,40.17586801701691
CAEJax,weight_decay,1e-06,32,0.001,1e-06,32,1.0,0.0,379939.0,0.4123871326446533,0.4532323479652405,0.0006551620899699628,0.37377036757454435,271,75.72462096507661
AEJax,weight_decay,0.0001,32,0.001,0.0001,32,1.0,0.0,7155411.0,0.49709817341395784,0.5435989499092102,0.0007964787655510008,0.45439161624715735,400,49.902630288968794
CAEJax,weight_decay,0.001,32,0.001,0.001,32,1.0,0.0,379939.0,0.38288375309535433,0.405515193939209,0.0005803363164886832,0.3310822186625252,400,112.78152683202643
AEJax,batch_size,8,32,0.001,1e-06,8,1.0,0.0,7155411.0,0.12844126565115793,0.23258432745933533,0.00031737523386254907,0.18106276238495508,400,176.53189450199716
CAEJax,batch_size,16,32,0.001,1e-06,16,1.0,0.0,379939.0,0.3996948174067906,0.44004005193710327,0.0006361003033816814,0.3628956068263208,274,79.7273594669532
AEJax,batch_size,64,32,0.001,1e-06,64,1.0,0.0,7155411.0,0.13117302315575735,0.23264174163341522,0.0003176577447447926,0.1812239350137084,380,28.289367440971546
CAEJax,batch_size,128,32,0.001,1e-06,128,1.0,0.0,379939.0,0.42651213918413433,0.4724065661430359,0.0006848742486909032,0.39072117204961443,343,92.05806428089272
AEJax,batch_size,512,32,0.001,1e-06,512,1.0,0.0,7155411.0,0.1532403826713562,0.25247034430503845,0.0003460671869106591,0.19743153890820495,400,12.42154661891982
CAEJax,batch_size,1024,32,0.001,1e-06,1024,1.0,0.0,379939.0,0.47697514295578003,0.5097407102584839,0.0007305978215299547,0.4168064979384448,400,70.1482789660804
AEJax,width,0.5,32,0.001,1e-06,32,0.5,0.0,3576467.0,0.348081111907959,0.4483802616596222,0.0006439922144636512,0.3673979468596226,338,24.98352511797566
CAEJax,width,0.75,32,0.001,1e-06,32,0.75,0.0,276323.0,0.4587207521711077,0.4954669773578644,0.0007116010528989136,0.405968829974051,271,75.6123723089695
AEJax,width,1.5,32,0.001,1e-06,32,1.5,0.0,10750739.0,0.05259050215993609,0.1323913186788559,0.00018206734966952354,0.10386953282419142,381,70.331125547993
CAEJax,width,2.0,32,0.001,1e-06,32,2.0,0.0,852003.0,0.28213443074907574,0.3342888355255127,0.0004888470284640789,0.27888752465076166,258,108.20379334001336
AEJax,width,4.0,32,0.001,1e-06,32,4.0,0.0,28973139.0,0.010319342570645469,0.047580212354660034,6.156732706585899e-05,0.03512419723345614,400,154.96076784399338
CAEJax,noise,0.0,32,0.001,1e-06,32,1.0,0.0,379939.0,0.41234820229666574,0.4535139501094818,0.0006554119754582644,0.3739129273963715,271,75.8104082220234
AEJax,noise,0.003,32,0.001,1e-06,32,1.0,0.003,7155411.0,0.13177029575620378,0.2325212061405182,0.00031708221649751067,0.18089557177306603,358,44.055577068938874
CAEJax,noise,0.01,32,0.001,1e-06,32,1.0,0.01,379939.0,0.4109421116965158,0.4524824917316437,0.0006536561995744705,0.3729111075940687,274,76.68154074798804
